                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7371,                 2.7651,                 1.4108,                0.88757,                0.04259,                0.39853,                0.19657,                 1.4439,                  2.938,                 1.1946,             0.00054889,             0.00054889,             0.00054889
                      2,                  1.677,                  2.005,                 1.3985,                0.49369,                 0.3533,                0.33805,                 0.1857,                 1.5758,                 2.2099,                 1.4501,              0.0010936,              0.0010936,              0.0010936
                      3,                 1.6906,                 1.7333,                 1.4399,                0.50414,                0.52359,                0.46095,                0.21757,                 1.6321,                 1.7451,                 1.5045,              0.0016274,              0.0016274,              0.0016274
                      4,                 1.6736,                 1.5372,                 1.4303,                0.69515,                0.62071,                0.63233,                0.34568,                 1.6084,                 1.2937,                 1.4578,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6318,                 1.4916,                 1.3901,                0.57907,                 0.6358,                0.55484,                0.28767,                 1.6352,                 1.3374,                 1.4452,               0.001601,               0.001601,               0.001601
                      6,                 1.5971,                 1.3472,                 1.3741,                 0.6554,                0.61629,                0.60538,                 0.3242,                 1.5275,                 1.2865,                 1.4082,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5977,                 1.2738,                 1.3597,                0.65579,                0.68399,                0.65307,                0.36928,                 1.4684,                 1.1386,                 1.3455,               0.001568,               0.001568,               0.001568
                      8,                 1.5843,                 1.2145,                 1.3574,                0.66031,                0.65021,                 0.6373,                0.35953,                 1.4611,                 1.1184,                 1.3241,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5678,                 1.1733,                 1.3509,                0.65083,                0.73485,                0.63473,                0.34677,                 1.5973,                 1.1178,                  1.435,               0.001535,               0.001535,               0.001535
                     10,                 1.5164,                 1.1333,                  1.336,                0.65155,                 0.7043,                0.63178,                0.34095,                 1.6003,                 1.0857,                 1.4438,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.526,                 1.1441,                 1.3298,                0.72647,                0.66891,                0.69913,                0.38078,                 1.5596,                 1.0485,                 1.4217,               0.001502,               0.001502,               0.001502
                     12,                 1.4938,                  1.077,                 1.3102,                0.70514,                 0.7478,                0.71676,                 0.3958,                 1.5232,                0.97807,                 1.3536,              0.0014855,              0.0014855,              0.0014855
